Accepted.name,Name.as.entered,locality.site,Country,Latitude,Longitude,Altitude..m.,Vegetation.type,Reference,Specimen.details
Pereskia grandifolia Haw.,Pereskia grandifolia Haw.,"Lagoa Silvano, floresta semidecidual",Brazil,-19.511100769043,-42.430599212646,297,Seasonally dry Semideciduous Broadleaved Forest,"CETEC 1982 Centro TecnolÃ³gico de Minas Gerais, Belo Horizonte, MG, Brasil. Levantamento da vegetaÃ§Ã£o do Parque Estadual do Rio Doce.",NA
Cnidoscolus bahianus (Ule) Pax & K.Hoffm.,Cnidoscolus bahianus (Ule) Pax & K.Hoffm.,"Mocambo, caatinga carbonÃ¡tica",Brazil,-12.765800476074,-42.50719833374,502,Arid Deciduous Broadleaved Forest,"SANTOS, R.M. & QUEIROZ, L.P. 2008 Universidade Estadual de Feira de Santana, Feira de Santana, BA, Brazil. Checklists de Ã¡reas de caatinga e matas secas.",NA
Posoqueria latifolia (Rudge) Roem. & Schult.,Posoqueria latifolia (Rudge) Roem. & Schult.,"DivisÃ³polis, floresta semidecidual de cipÃ³",Brazil,-15.741399765015,-40.994998931885,917,Seasonally dry Semideciduous Broadleaved Forest,"SCOLFORO, J.R.S. & CARVALHO, L.M.T. (EDS.) 2007 Editora UFLA, Lavras, MG, Brasil. Mapeamento e inventÃ¡rio da flora nativa e dos reflorestamentos de Minas Gerais.",NA
Aspidosperma multiflorum A.DC.,Aspidosperma multiflorum A.DC.,"CorumbÃ¡ de GoiÃ¡s, floresta ripÃ­cola",Brazil,-17.884399414062,-49.466899871826,568,Seasonally dry Semideciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2006 Royal Botanic Gardens, Kew, U.K.; Jardim BotÃ¢nico do Rio de Janeiro, Rio de Janeiro, Brazil; Universidade Federal de Minas Gerais, Belo Horizonte, Brazil; New York Botanical Garden Checklists compiled from herbarium specimens.",NA
Erythroxylum pelleterianum A.St.-Hil.,Erythroxylum pelleterianum A.St.-Hil.,"Itumirim, floresta semidecidual",Brazil,-21.22500038147,-44.788600921631,872,Seasonally dry Semideciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2015 NeoTropTree. Flora arbÃ³rea da RegiÃ£o Neotropical: Um banco de dados envolvendo biogeografia, diversidade e conservaÃ§Ã£o. Universidade Federal de Minas Gerais.",NA
Machaerium acutifolium Vogel,Machaerium acutifolium Vogel,"IbiaÃ­, PacuÃ­, floresta decidual",Brazil,-16.786699295044,-44.964698791504,483,Seasonally dry Deciduous Broadleaved Forest,"SCOLFORO, J.R.S. & CARVALHO, L.M.T. (EDS.) 2007 Editora UFLA, Lavras, MG, Brasil. Mapeamento e inventÃ¡rio da flora nativa e dos reflorestamentos de Minas Gerais.",NA
Albizia polycephala (Benth.) Killip,Albizia polycephala (Benth.) Killip,"Lagoa Dourada, floresta semidecidual",Brazil,-20.924699783325,-44.101100921631,1115,Seasonally dry Semideciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2015 NeoTropTree. Flora arbÃ³rea da RegiÃ£o Neotropical: Um banco de dados envolvendo biogeografia, diversidade e conservaÃ§Ã£o. Universidade Federal de Minas Gerais.",NA
Pouteria gardneri (Mart. & Miq.) Baehni,Pouteria gardneri (Mart. & Miq.) Baehni,"Ourinhos, floresta semidecidual",Brazil,-22.841899871826,-49.887500762939,516,Seasonally dry Semideciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2006 Royal Botanic Gardens, Kew, U.K.; Jardim BotÃ¢nico do Rio de Janeiro, Rio de Janeiro, Brazil; Universidade Federal de Minas Gerais, Belo Horizonte, Brazil; New York Botanical Garden Checklists compiled from herbarium specimens.",NA
Eugenia involucrata DC.,Eugenia involucrata DC.,"Frutal, floresta ripÃ­cola",Brazil,-19.935600280762,-48.985599517822,514,Seasonally dry Semideciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2015 NeoTropTree. Flora arbÃ³rea da RegiÃ£o Neotropical: Um banco de dados envolvendo biogeografia, diversidade e conservaÃ§Ã£o. Universidade Federal de Minas Gerais.",NA
Xylopia emarginata Mart.,Xylopia emarginata Mart.,"Buritizal, floresta semidecidual",Brazil,-20.16609954834,-47.594699859619,759,Seasonally dry Semideciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2006 Royal Botanic Gardens, Kew, U.K.; Jardim BotÃ¢nico do Rio de Janeiro, Rio de Janeiro, Brazil; Universidade Federal de Minas Gerais, Belo Horizonte, Brazil; New York Botanical Garden Checklists compiled from herbarium specimens.",NA
