scrubbed_species_binomial,verbatim_family,verbatim_scientific_name,family_matched,name_matched,name_matched_author,higher_plant_group,scrubbed_taxonomic_status,scrubbed_family,scrubbed_author,latitude,longitude,date_collected,datasource,dataset,dataowner,custodial_institution_codes,collection_code,datasource_id,is_new_world
Casearia eichleriana,Salicaceae,Casearia eichleriana Sleumer,Salicaceae,Casearia eichleriana,Sleumer,flowering plants,Accepted,Salicaceae,Sleumer,,,1986-11-18,MO,MO,MO,MO,,280,1
Eragrostis maypurensis,Poaceae,Eragrostis maypurensis Steud.,Poaceae,Eragrostis maypurensis,(Kunth) Steud.,flowering plants,Accepted,Poaceae,(Kunth) Steud.,-13.17078,-47.824956,2014-06-07,GBIF,UnB,UnB,UnB,UB,3120,1
Mimosa sensitiva,Fabaceae,Mimosa sensitiva L.,Fabaceae,Mimosa sensitiva,L.,flowering plants,Accepted,Fabaceae,L.,-20.390833,-43.651389,2011-05-17,GBIF,UEFS,UEFS,UEFS,HUEFS,2756,1
Aegiphila integrifolia,Lamiaceae,Aegiphila integrifolia (Jacq.) Moldenke,Lamiaceae,Aegiphila integrifolia,(Jacq.) Jacq.,flowering plants,Accepted,Lamiaceae,(Jacq.) Jacq.,-7.195278,-48.434722,2010-05-15,GBIF,UNITINS,UNITINS,UNITINS,HUTO,2430,1
,Orchidaceae,Acianthera Scheidw.,Orchidaceae,Acianthera,Scheidw.,flowering plants,Accepted,Orchidaceae,Scheidw.,,,,GBIF,Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC),Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC),Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC),CEPEC,2724,1
Rhodospatha venosa,Araceae,Rhodospatha venosa,Araceae,Rhodospatha venosa,Gleason,flowering plants,Accepted,Araceae,Gleason,-2,-60,2010-08-10,SpeciesLink,IFAM - CMZL,IFAM - CMZL,IFAM - CMZL,EAFM,964,1
Ditassa succedanea,Apocynaceae,Ditassa succedanea Rapini,Apocynaceae,Ditassa succedanea,Rapini,flowering plants,Accepted,Apocynaceae,Rapini,-18.007222,-43.615833,2001-02-15,GBIF,Universidade Federal de Minas Gerais (UFMG),Universidade Federal de Minas Gerais (UFMG),Universidade Federal de Minas Gerais (UFMG),BHCB,2515,1
Sebastiania macrocarpa,Euphorbiaceae,Sebastiania macrocarpa,Euphorbiaceae,Sebastiania macrocarpa,Müll. Arg.,flowering plants,Accepted,Euphorbiaceae,Müll. Arg.,-8.454722,-39.404722,2009-01-21,SpeciesLink,UNIVASF,UNIVASF,UNIVASF,HVASF,786,1
Caladium bicolor,Araceae,Caladium bicolor (Aiton) Vent.,Araceae,Caladium bicolor,(Aiton) Vent.,flowering plants,Accepted,Araceae,(Aiton) Vent.,-7.696667,-34.960278,2009-05-25,GBIF,JBRJ,JBRJ,JBRJ,RB,1928,1
Amaioua intermedia,Rubiaceae,Amaioua intermedia Mart.,Rubiaceae,Amaioua intermedia,Mart.,flowering plants,Accepted,Rubiaceae,Mart.,-23.4339,-45.0711,1959-03-11,GBIF,IAC,IAC,IAC,IAC,3493,1
Mikania officinalis,Asteraceae,Mikania officinalis Mart.,Asteraceae,Mikania officinalis,Mart.,flowering plants,Accepted,Asteraceae,Mart.,-17.024167,-48.801389,2008-12-15,GBIF,UFG,UFG,UFG,UFG,3801,1
,Myrtaceae,Myrcia DC.,Myrtaceae,Myrcia,DC.,flowering plants,Accepted,Myrtaceae,DC.,-20.766667,-42.033333,1992-03-03,GBIF,JBRJ,JBRJ,JBRJ,RB,1928,1
Chiococca alba,Rubiaceae,Chiococca alba Hitchc.,Rubiaceae,Chiococca alba,(L.) Hitchc.,flowering plants,Accepted,Rubiaceae,(L.) Hitchc.,-16.0375,-47.30944,,GBIF,Cenargen,Cenargen,Cenargen,CEN,3199,1
,,Plantae,Plantaginaceae,Plantago,L.,flowering plants,Accepted,Plantaginaceae,L.,-10,-67.83,1980-10-12,GBIF,Instituto Nacional de Pesquisas da Amazônia (INPA),Instituto Nacional de Pesquisas da Amazônia (INPA),Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",2095,1
Lastreopsis amplissima,Dryopteridaceae,Lastreopsis amplissima (C.Presl) Tindale,Dryopteridaceae,Lastreopsis amplissima,(C. Presl) Tindale,ferns and allies,Accepted,Dryopteridaceae,(C. Presl) Tindale,-25.25,-48.833333,2007-09-29,GBIF,UFPR,UFPR,UFPR,UPCB,2201,1
Xylosma pseudosalzmanii,flacourtiaceae,xylosma pseudosalzmanii,Salicaceae,Xylosma pseudosalzmanii,Sleumer,flowering plants,Accepted,Salicaceae,Sleumer,-23.6939,-47.0672,2000-03-01,SpeciesLink,FAPESP,FAPESP,FAPESP,SinBiota,196,1
Pouteria anomala,Sapotaceae,Sapotaceae Pouteria anomala,Sapotaceae,Pouteria anomala,(Pires) T.D. Penn.,flowering plants,Accepted,Sapotaceae,(Pires) T.D. Penn.,,,2005-12-10,TEAM,Manaus,Eduardo Eler,,,42,1
Xyris lucida,Xyridaceae,Xyris lucida Malme,Xyridaceae,Xyris lucida,Malme,flowering plants,Accepted,Xyridaceae,Malme,-25.889722,-48.956389,2013-11-16,GBIF,UFRGS,UFRGS,UFRGS,ICN,2637,1
Tetrapterys anisoptera,Malpighiaceae,Tetrapterys anisoptera A.Juss.,Malpighiaceae,Tetrapterys anisoptera,A. Juss.,flowering plants,Accepted,Malpighiaceae,A. Juss.,-10.8339,-52.8731,,GBIF,F,F,F,Botany,3567,1
Tillandsia tenuifolia,Bromeliaceae,Tillandsia tenuifolia L.,Bromeliaceae,Tillandsia tenuifolia,L.,flowering plants,Accepted,Bromeliaceae,L.,-23.933333,-48.553889,2007-10-23,GBIF,JBRJ,JBRJ,JBRJ,RB,1928,1
,Bignoniaceae,Mansoa DC.,Bignoniaceae,Mansoa,DC.,flowering plants,Accepted,Bignoniaceae,DC.,-14.125833,-42.434167,,GBIF,Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC),Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC),Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC),CEPEC,2724,1
Ouratea floribunda,Ochnaceae,Ouratea floribunda Engl.,Ochnaceae,Ouratea floribunda,Engl.,flowering plants,Accepted,Ochnaceae,Engl.,-15.77972,-47.92944,1976-03-24,NY,NY,NY,NY,Herbarium,104,1
,Lentibulariaceae,Lentibulariaceae,Lentibulariaceae,Lentibulariaceae,Rich.,flowering plants,Accepted,Lentibulariaceae,Rich.,-20.111111,-43.893333,2010-04-22,GBIF,Universidade Federal de Minas Gerais (UFMG),Universidade Federal de Minas Gerais (UFMG),Universidade Federal de Minas Gerais (UFMG),BHCB,2515,1
,Euphorbiaceae,Acalypha L.,Euphorbiaceae,Acalypha,L.,flowering plants,Accepted,Euphorbiaceae,L.,-13.148056,-46.659722,2000-10-31,GBIF,"Instituto de Botânica, IBT","Instituto de Botânica, IBT","Instituto de Botânica, IBT",SP,3012,1
,Cyperaceae,Eleocharis,Cyperaceae,Eleocharis,R. Br.,flowering plants,Accepted,Cyperaceae,R. Br.,-13.483333,-39.033333,2006-08-12,SpeciesLink,UFBA,UFBA,UFBA,ALCB,1028,1
,Poaceae,Echinochloa P.Beauv.,Poaceae,Echinochloa,P. Beauv.,flowering plants,Accepted,Poaceae,P. Beauv.,-12.705833,-39.392222,2010-03-21,GBIF,UEFS,UEFS,UEFS,HUEFS,2756,1
Ischnosiphon gracilis,Marantaceae,Ischnosiphon gracilis Körn.,Marantaceae,Ischnosiphon gracilis,(Rudge) Körn.,flowering plants,Accepted,Marantaceae,(Rudge) Körn.,-12.166667,-37.966667,2013-08-21,GBIF,UEFS,UEFS,UEFS,HUEFS,2756,1
Cyrtopodium virescens,Orchidaceae,Cyrtopodium virescens,Orchidaceae,Cyrtopodium virescens,Rchb. f. & Warm.,flowering plants,Accepted,Orchidaceae,Rchb. f. & Warm.,,,1994-10-05,SpeciesLink,UnB,UnB,UnB,UB,1227,1
,Apocynaceae,Temnadenia Miers & Woodson,Apocynaceae,Temnadenia,,flowering plants,Accepted,Apocynaceae,,-18.069444,-40.183333,2006-12-04,GBIF,MBML,MBML,MBML,MBML-HERBARIO,3510,1
Anemopaegma album,Bignoniaceae,Anemopaegma album Mart.,Bignoniaceae,Anemopaegma album,Mart.,flowering plants,No opinion,Bignoniaceae,Mart.,-11.39,-41.01,1977-03-04,GBIF,UNICAMP,UNICAMP,UNICAMP,UEC,2136,1
Psychotria lupulina,Rubiaceae,Psychotria lupulina Benth.,Rubiaceae,Psychotria lupulina,Benth.,flowering plants,Accepted,Rubiaceae,Benth.,,,,GBIF,Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC),Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC),Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC),CEPEC,2724,1
,Rubiaceae,Rubiaceae Sabicea M1,Rubiaceae,Sabicea,Aubl.,flowering plants,Accepted,Rubiaceae,Aubl.,-5.778,-51.003,,SALVIAS,Gentry Transect Dataset,James S. MIller,,,14,1
,Lauraceae,Lauraceae Ocotea MA sp 11,Lauraceae,Ocotea,Aubl.,flowering plants,Accepted,Lauraceae,Aubl.,-2.6185037,-60.2098673,2011-09-22,TEAM,Manaus,Eduardo Eler,,,42,1
Croton organensis,Euphorbiaceae,Croton organensis,Euphorbiaceae,Croton organensis,Baill.,flowering plants,Accepted,Euphorbiaceae,Baill.,-22.867812,-45.737645,2006-11-05,SpeciesLink,IAC,IAC,IAC,IAC,1365,1
Pecluma truncorum,Polypodiaceae,Pecluma truncorum (Lindm.) Price,Polypodiaceae,Pecluma truncorum,(Lindm.) M.G. Price,ferns and allies,Accepted,Polypodiaceae,(Lindm.) M.G. Price,-25.483333,-48.983333,2004-12-17,GBIF,UFPR,UFPR,UFPR,UPCB,2201,1
Pouteria decorticans,Sapotaceae,Sapotaceae Pouteria decorticans,Sapotaceae,Pouteria decorticans,T.D. Penn.,flowering plants,Accepted,Sapotaceae,T.D. Penn.,,,2004-04-11,TEAM,Caxiuanã,Fernanda Santos,,,36,1
Attalea pindobassu,Arecaceae,Attalea pindobassu Bondar,Arecaceae,Attalea pindobassu,Bondar,flowering plants,Accepted,Arecaceae,Bondar,-11.733333,-40.566667,1988-08-20,GBIF,IPA,IPA,IPA,IPA,3347,1
Monstera adansonii,Araceae,Monstera adansonii Schott,Araceae,Monstera adansonii,Schott,flowering plants,Accepted,Araceae,Schott,-14.8,-39.166667,1998-03-30,GBIF,UESC,UESC,UESC,UESC,3702,1
,Myrtaceae,Psidium L.,Myrtaceae,Psidium,L.,flowering plants,Accepted,Myrtaceae,L.,-15.721389,-48.933333,2017-08-14,GBIF,Jardim Botânico de Brasília (JBB),Jardim Botânico de Brasília (JBB),Jardim Botânico de Brasília (JBB),HEPH,2371,1
Macroptilium bracteatum,Fabaceae,Macroptilium bracteatum (Nees & Mart.) Maréchal & Baudet,Fabaceae,Macroptilium bracteatum,(Nees & Mart.) Maréchal & Baudet,flowering plants,Accepted,Fabaceae,(Nees & Mart.) Maréchal & Baudet,-11.111111,-42.721389,2000-04-11,GBIF,Universidade Federal da Bahia (UFBA),Universidade Federal da Bahia (UFBA),Universidade Federal da Bahia (UFBA),ALCB,2879,1
Paepalanthus sphaerocephalus,Eriocaulaceae,Paepalanthus sphaerocephalus,Eriocaulaceae,Paepalanthus sphaerocephalus,Ruhland,flowering plants,Accepted,Eriocaulaceae,Ruhland,-16.7686,-47.6136,1973-04-05,SpeciesLink,UnB,UnB,UnB,UB,1227,1
Bishopiella elegans,Asteraceae,Bishopiella elegans R.M.King & H.Rob.,Asteraceae,Bishopiella elegans,R.M. King & H. Rob.,flowering plants,Accepted,Asteraceae,R.M. King & H. Rob.,-13.25,-41.9,1991-12-31,GBIF,US,US,US,Botany,3271,1
,Chrysobalanaceae,Hirtella L.,Chrysobalanaceae,Hirtella,L.,flowering plants,Accepted,Chrysobalanaceae,L.,-14.54167,-49.0725,,GBIF,Cenargen,Cenargen,Cenargen,CEN,3199,1
Lipocarpha micrantha,Cyperaceae,Lipocarpha micrantha (Vahl) G.C.Tucker,Cyperaceae,Lipocarpha micrantha,(Vahl) G.C. Tucker,flowering plants,Accepted,Cyperaceae,(Vahl) G.C. Tucker,-6.357222,-38.461667,2008-05-30,GBIF,UFERSA,UFERSA,UFERSA,MOSS,1570,1
,Ptychomitriaceae,Ptychomitrium Fürnr.,Ptychomitriaceae,Ptychomitrium,Fürnr.,bryophytes,Accepted,Ptychomitriaceae,Fürnr.,-27.569444,-52.020278,1983-04-23,GBIF,IBt,IBt,IBt,SP-BRYOPHYTA,1670,1
Noisettia orchidiflora,Violaceae,Noisettia orchidiflora Ging.,Violaceae,Noisettia orchidiflora,(Rudge) Ging.,flowering plants,Accepted,Violaceae,(Rudge) Ging.,-25.441944,-48.918056,2014-02-08,GBIF,Universidade Tecnológica Federal do Paraná (UTFPR),Universidade Tecnológica Federal do Paraná (UTFPR),Universidade Tecnológica Federal do Paraná (UTFPR),HCF,2459,1
Ptychomitrium sellowianum,Ptychomitriaceae,Ptychomitrium sellowianum (Müll. Hal.) A. Jaeger,Ptychomitriaceae,Ptychomitrium sellowianum,(Müll. Hal.) A. Jaeger,bryophytes,Accepted,Ptychomitriaceae,(Müll. Hal.) A. Jaeger,-28.88333,-50.4,1989-07-01,MO,MO,MO,MO,,280,1
Rhynchospora tenuis,Cyperaceae,Rhynchospora tenuis,Cyperaceae,Rhynchospora tenuis,Willd. ex Link,flowering plants,Accepted,Cyperaceae,Willd. ex Link,-13.533333,-41.916667,1974-01-22,SpeciesLink,UNICAMP,UNICAMP,UNICAMP,UEC,1030,1
,Rubiaceae,Alibertia A.Rich. ex DC.,Rubiaceae,Alibertia,A. Rich. ex DC.,flowering plants,Accepted,Rubiaceae,A. Rich. ex DC.,-7.476667,-36.888889,2002-12-20,GBIF,UFPB,UFPB,UFPB,JPB,3165,1
Tetragastris panamensis,Burseraceae,Tetragastris panamensis (Engl.) Kuntze,Burseraceae,Tetragastris panamensis,(Engl.) Kuntze,flowering plants,Accepted,Burseraceae,(Engl.) Kuntze,-10.93889,-69.4975,1997-10-19,NY,NY,NY,NY,Herbarium,104,1
Chamaecrista desvauxii,Fabaceae,Chamaecrista desvauxii var. latifolia (Benth.) H.S.Irwin & Barneby,Fabaceae,Chamaecrista desvauxii var. latifolia,(Benth.) H.S. Irwin & Barneby,flowering plants,Accepted,Fabaceae,(Benth.) H.S. Irwin & Barneby,-5.32,-41.55,1994-04-20,GBIF,K,K,K,Herbarium,3716,1
Zygia racemosa,Fabaceae,Zygia racemosa (Ducke) Barneby & J.W.Grimes,Fabaceae,Zygia racemosa,(Ducke) Barneby & J.W. Grimes,flowering plants,Accepted,Fabaceae,(Ducke) Barneby & J.W. Grimes,-2.883333,-59.966667,1995-08-08,GBIF,UFV,UFV,UFV,VIC,1882,1
Inga cinnamomea,Fabaceae,Inga cinnamomea Spruce ex Benth.,Fabaceae,Inga cinnamomea,Spruce ex Benth.,flowering plants,Accepted,Fabaceae,Spruce ex Benth.,-10.8339,-52.8731,1851-06-01,GBIF,F,F,F,Botany,3567,1
Cuphea sessilifolia,Lythraceae,Cuphea sessilifolia Mart.,Lythraceae,Cuphea sessilifolia,Mart.,flowering plants,Accepted,Lythraceae,Mart.,-10.8339,-52.8731,,GBIF,F,F,F,Botany,3567,1
Miconia hyemalis,Melastomataceae,Miconia hyemalis A.St.-Hil. & Naudin,Melastomataceae,Miconia hyemalis,A. St.-Hil. & Naudin,flowering plants,Accepted,Melastomataceae,A. St.-Hil. & Naudin,-25.059,-49.026,2006-09-07,GBIF,UFPR,UFPR,UFPR,UPCB,2201,1
Helicostylis tomentosa,Moraceae,Helicostylis tomentosa Rusby,Moraceae,Helicostylis tomentosa,(Poepp. & Endl.) Rusby,flowering plants,Accepted,Moraceae,(Poepp. & Endl.) Rusby,-10.8339,-52.8731,,GBIF,F,F,F,Botany,3567,1
Posoqueria latifolia,Rubiaceae,Posoqueria latifolia (Rudge) Roem. & Schult.,Rubiaceae,Posoqueria latifolia,(Rudge) Schult.,flowering plants,Accepted,Rubiaceae,(Rudge) Schult.,-7.50611,-63.02056,1966-11-23,NY,NY,NY,NY,Herbarium,104,1
,Euphorbiaceae,Hevea,Euphorbiaceae,Hevea,Aubl.,flowering plants,Accepted,Euphorbiaceae,Aubl.,-4.368306,-70.037778,1983-06-01,SpeciesLink,PUCRS,PUCRS,PUCRS,MPUC,681,1
,Lejeuneaceae,Lejeuneaceae,,Lejeuneaceae,,bryophytes,Accepted,Lejeuneaceae,,-23.643889,-46.137778,1983-07-25,GBIF,IBt,IBt,IBt,SP-BRYOPHYTA,1670,1
Hymenaea stigonocarpa,Fabaceae,Hymenaea stigonocarpa var. stigonocarpa,Fabaceae,Hymenaea stigonocarpa var. stigonocarpa,,flowering plants,Accepted,Fabaceae,,-14.246667,-43.838611,2002-04-16,GBIF,UEFS,UEFS,UEFS,HUEFS,2756,1
Protium unifoliolatum,Burseraceae,Protium unifoliolatum Engl.,Burseraceae,Protium unifoliolatum,Engl.,flowering plants,Accepted,Burseraceae,Engl.,-1.583333,-55.53,1981-08-05,GBIF,Instituto Nacional de Pesquisas da Amazônia (INPA),Instituto Nacional de Pesquisas da Amazônia (INPA),Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",2095,1
,Melastomataceae,Sp.,Melastomataceae,Melastomataceae,Juss.,flowering plants,Accepted,Melastomataceae,Juss.,-6.6977777778,-35.1661111111,2003-02-02,SpeciesLink,UFPB,UFPB,UFPB,JPB,306,1
Senegalia polyphylla,Fabaceae,Senegalia polyphylla (DC.) Britton & Rose,Fabaceae,Senegalia polyphylla,(DC.) Britton & Rose,flowering plants,Accepted,Fabaceae,(DC.) Britton & Rose,-10.566667,-63.583333,1987-04-22,GBIF,"Instituto de Botânica, IBT","Instituto de Botânica, IBT","Instituto de Botânica, IBT",SP,3012,1
Stylosanthes guianensis,Fabaceae,Stylosanthes guianensis var. vulgaris M.B.Ferreira & Sousa Costa,Fabaceae,Stylosanthes guianensis var. vulgaris,M.B. Ferreira & Sousa Costa,flowering plants,Accepted,Fabaceae,(Aubl.) Sw.,-1.75,-47.46667,,GBIF,Cenargen,Cenargen,Cenargen,CEN,3199,1
Caraipa densifolia,Calophyllaceae,Caraipa densifolia Mart.,Calophyllaceae,Caraipa densifolia,Mart.,flowering plants,Accepted,Calophyllaceae,Mart.,-12.473333,-50.201944,2009-07-12,GBIF,"Instituto de Botânica, IBT","Instituto de Botânica, IBT","Instituto de Botânica, IBT",SP,3012,1
Sorghastrum setosum,Poaceae,Sorghastrum setosum (Griseb.) Hitchc.,Poaceae,Sorghastrum setosum,(Griseb.) Hitchc.,flowering plants,Accepted,Poaceae,(Griseb.) Hitchc.,-7.58333,-57.58333,1974-02-16,MO,MO,MO,MO,,280,1
,Rhamnaceae,Rhamnaceae,Rhamnaceae,Rhamnaceae,Juss.,flowering plants,Accepted,Rhamnaceae,Juss.,-7.583333,-60.666667,1985-04-24,GBIF,JBRJ,JBRJ,JBRJ,RB,1928,1
,Heliconiaceae,Sp.,Heliconiaceae,Heliconiaceae,Nakai,flowering plants,Accepted,Heliconiaceae,Nakai,-13.7170555556,-39.6371388889,2011-11-25,SpeciesLink,UESB,UESB,UESB,HUESB,1224,1
Lepidopilum scabrisetum,Daltoniaceae,"Lepidopilum scabrisetum Steere, 1948",Daltoniaceae,Lepidopilum scabrisetum,(Schwägr.) Steere,bryophytes,Accepted,Daltoniaceae,(Schwägr.) Steere,-23.656389,-47.2225,1983-05-29,GBIF,IBt,IBt,IBt,SP-BRYOPHYTA,1670,1
Euploca procumbens,Heliotropiaceae,Euploca procumbens (Mill.) Diane & Hilger,Boraginaceae,Euploca procumbens,(Mill.) Diane & Hilger,flowering plants,Accepted,Boraginaceae,(Mill.) Diane & Hilger,-8.423389,-38.046333,2010-10-22,GBIF,UNIVASF,UNIVASF,UNIVASF,HVASF,1825,1
,Pontederiaceae,Heteranthera Ruiz & Pav.,Pontederiaceae,Heteranthera,Ruiz & Pav.,flowering plants,Accepted,Pontederiaceae,Ruiz & Pav.,-5.403611,-37.633056,2009-12-04,GBIF,UFERSA,UFERSA,UFERSA,MOSS,1570,1
,Myrtaceae,Myrtaceae,Myrtaceae,Myrtaceae,Juss.,flowering plants,Accepted,Myrtaceae,Juss.,-20.266667,-40.533333,2008-05-06,SpeciesLink,UFMG,UFMG,UFMG,BHCB,501,1
,Verbenaceae,Lantana L.,Verbenaceae,Lantana,L.,flowering plants,Accepted,Verbenaceae,L.,-10.738333,-37.811111,2011-02-11,GBIF,"Universidade Federal de Sergipe, UFS","Universidade Federal de Sergipe, UFS","Universidade Federal de Sergipe, UFS",ASE,3114,1
Byrsonima coccolobifolia,Malpighiaceae,Byrsonima coccolobifolia Kunth,Malpighiaceae,Byrsonima coccolobifolia,Kunth,flowering plants,Accepted,Malpighiaceae,Kunth,-22.180278,-47.883056,1994-04-17,GBIF,USP,USP,USP,SPF,3527,1
,Asteraceae,Pamphalea Lag.,Asteraceae,Pamphalea,Lag.,flowering plants,Accepted,Asteraceae,Lag.,-27.816111,-50.326111,2016-10-09,GBIF,"Universidade Regional de Blumenau, FURB","Universidade Regional de Blumenau, FURB","Universidade Regional de Blumenau, FURB",FURB,1646,1
Cyclodium heterodon,Dryopteridaceae,Cyclodium heterodon var. abbreviatum (C. Presl) A.R. Sm.,Dryopteridaceae,Cyclodium heterodon var. abbreviatum,(C. Presl) A.R. Sm.,ferns and allies,Accepted,Dryopteridaceae,(C. Presl) A.R. Sm.,-13.89083,-39.45916,2003-03-19,MO,MO,MO,MO,,280,1
,Rapateaceae,Rapateaceae,Rapateaceae,Rapateaceae,Dumort.,flowering plants,Accepted,Rapateaceae,Dumort.,1.380417,-60.98,2011-01-25,GBIF,Instituto Nacional de Pesquisas da Amazônia (INPA),Instituto Nacional de Pesquisas da Amazônia (INPA),Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",2095,1
Sisyrinchium vaginatum,Iridaceae,Sisyrinchium vaginatum Spreng.,Iridaceae,Sisyrinchium vaginatum,Spreng.,flowering plants,Accepted,Iridaceae,Spreng.,-15.964444,-47.819444,,GBIF,Cenargen,Cenargen,Cenargen,CEN,3199,1
,Violaceae,Noisettia Kunth,Violaceae,Noisettia,Kunth,flowering plants,Accepted,Violaceae,Kunth,-20.026667,-40.492222,2007-11-30,GBIF,MBML,MBML,MBML,MBML-HERBARIO,3510,1
,Asteraceae(=Compositae),Achyrocline,Asteraceae,Achyrocline,(Less.) DC.,flowering plants,Accepted,Asteraceae,(Less.) DC.,-24.715,-47.8811,1994-05-17,SpeciesLink,IAC,IAC,IAC,IAC,1365,1
,,Plantae,Plantaginaceae,Plantago,L.,flowering plants,Accepted,Plantaginaceae,L.,-19.45,-57.75,1995-08-18,GBIF,Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA),Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA),Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA),CPAP,2018,1
Turnera chamaedrifolia,Turneraceae,Turnera chamaedrifolia Cambess.,Passifloraceae,Turnera chamaedrifolia,Cambess.,flowering plants,Accepted,Passifloraceae,Cambess.,-12.683333,-38.316667,2005-11-12,GBIF,Universidade Federal da Bahia (UFBA),Universidade Federal da Bahia (UFBA),Universidade Federal da Bahia (UFBA),ALCB,2879,1
Ocotea mandioccana,Lauraceae,Ocotea mandiocana,Lauraceae,Ocotea mandioccana,,flowering plants,No opinion,Lauraceae,,-28.466667,-48.766667,1994-04-10,SpeciesLink,UNESC,UNESC,UNESC,CRI,538,1
Gouania pyrifolia,Rhamnaceae,Gouania pyrifolia Reissek,Rhamnaceae,Gouania pyrifolia,Reissek,flowering plants,Accepted,Rhamnaceae,Reissek,-6.72222,-35.14778,,GBIF,Cenargen,Cenargen,Cenargen,CEN,3199,1
Tapirira guianensis,Anacardiaceae,Tapirira guianensis Aubl.,Anacardiaceae,Tapirira guianensis,Aubl.,flowering plants,Accepted,Anacardiaceae,Aubl.,-11.939722,-40.546389,2006-12-21,GBIF,Universidade Federal da Bahia (UFBA),Universidade Federal da Bahia (UFBA),Universidade Federal da Bahia (UFBA),ALCB,2879,1
Myrcia mischophylla,Myrtaceae,Myrcia mischophylla Kiaersk.,Myrtaceae,Myrcia mischophylla,Kiaersk.,flowering plants,Accepted,Myrtaceae,Kiaersk.,-13.830556,-42.651389,2014-10-18,GBIF,JBRJ,JBRJ,JBRJ,RB,1928,1
Connarus suberosus,Connaraceae,Connarus suberosus Planch. var. suberosus,Connaraceae,Connarus suberosus var. suberosus,,flowering plants,Accepted,Connaraceae,,-11.233,-45.417,1994-10-14,NY,NY,NY,NY,Herbarium,104,1
Psidium brownianum,Myrtaceae,Psidium brownianum Mart. ex DC.,Myrtaceae,Psidium brownianum,Mart. ex DC.,flowering plants,Accepted,Myrtaceae,Mart. ex DC.,-18.77,-40.4475,2009-01-14,GBIF,MBML,MBML,MBML,MBML-HERBARIO,3510,1
,Convolvulaceae,Evolvulus L.,Convolvulaceae,Evolvulus,L.,flowering plants,Accepted,Convolvulaceae,L.,-13.516667,-42,1988-12-17,GBIF,FTG,FTG,FTG,Herbarium,3743,1
Cissampelos pareira,Menispermaceae,Cissampelos pareira L.,Menispermaceae,Cissampelos pareira,L.,flowering plants,Accepted,Menispermaceae,L.,-23.230444,-46.935778,2007-12-04,GBIF,"Universidade Estadual Paulista, UNESP","Universidade Estadual Paulista, UNESP","Universidade Estadual Paulista, UNESP",HRCB,2238,1
Pera bicolor,Peraceae,Pera bicolor Müll.Arg.,Euphorbiaceae,Pera bicolor,(Klotzsch) Müll. Arg.,flowering plants,Accepted,Euphorbiaceae,(Klotzsch) Müll. Arg.,-10.982222,-55.777778,2011-04-02,GBIF,UNEMAT,UNEMAT,UNEMAT,HERBAM,1849,1
Cordia trichoclada,Boraginaceae,Cordia trichoclada DC.,Boraginaceae,Cordia trichoclada,DC.,flowering plants,Accepted,Boraginaceae,DC.,-14.78194,-39.06916,1994-09-18,MO,MO,MO,MO,,280,1
,Humiriaceae,Humiriaceae,Humiriaceae,Humiriaceae,A. Juss.,flowering plants,Accepted,Humiriaceae,A. Juss.,-11,-40,1996-03-31,SpeciesLink,UFBA,UFBA,UFBA,ALCB,1028,1
Eschweilera bracteosa,Lecythidaceae,Lecythidaceae Eschweilera bracteosa,Lecythidaceae,Eschweilera bracteosa,(Poepp. ex O. Berg) Miers,flowering plants,Accepted,Lecythidaceae,(Poepp. ex O. Berg) Miers,-2.4313394,-59.794235,2008-08-25,TEAM,Manaus,Eduardo Eler,,,42,1
Myrsine guianensis,myrsinaceae,rapanea guianensis,Primulaceae,Rapanea guianensis,Aubl.,flowering plants,Accepted,Primulaceae,(Aubl.) Kuntze,-20.1225,-47.3861,2001-04-03,SpeciesLink,FAPESP,FAPESP,FAPESP,SinBiota,196,1
Pagamea acrensis,Rubiaceae,Pagamea acrensis Steyerm.,Rubiaceae,Pagamea acrensis,Steyerm.,flowering plants,Accepted,Rubiaceae,Steyerm.,0.33333,-67.33333,1987-11-13,MO,MO,MO,MO,,280,1
,Vitaceae,Cissus L.,Vitaceae,Cissus,L.,flowering plants,Accepted,Vitaceae,L.,-6.578056,-37.25,2006-04-15,GBIF,UEFS,UEFS,UEFS,HUEFS,2756,1
