scrubbed_species_binomial,verbatim_family,verbatim_scientific_name,family_matched,name_matched,name_matched_author,higher_plant_group,scrubbed_taxonomic_status,scrubbed_family,scrubbed_author,latitude,longitude,date_collected,datasource,dataset,dataowner,custodial_institution_codes,collection_code,datasource_id,is_new_world
NA,Myrtaceae,Eugenia,Myrtaceae,Eugenia,L.,flowering plants,Accepted,Myrtaceae,L.,NA,NA,1948-11-12,SpeciesLink,IAC,IAC,IAC,IAC,1365,1
NA,Fabaceae,Fabaceae,Fabaceae,Fabaceae,Lindl.,flowering plants,Accepted,Fabaceae,Lindl.,-25.3887,-49.0036,1993-05-12,GBIF,"Universidade Federal do Paraná, UFPR","Universidade Federal do Paraná, UFPR","Universidade Federal do Paraná, UFPR",EFC,1864,1
Albizia pedicellaris,Fabaceae,Albizia pedicellaris (DC.) L.Rico,Fabaceae,Albizia pedicellaris,(DC.) L. Rico,flowering plants,Accepted,Fabaceae,(DC.) L. Rico,-10.2825,-59.605556,1997-07-05,GBIF,JBRJ,JBRJ,JBRJ,RB,1928,1
Chrysophyllum prieurii,Sapotaceae,Sapotaceae Chrysophyllum prieurii,Sapotaceae,Chrysophyllum prieurii,A. DC.,flowering plants,Accepted,Sapotaceae,A. DC.,-1.75391,-51.52048,2008-11-07,TEAM,Caxiuanã,Fernanda Santos,NA,NA,36,1
NA,Orchidaceae,Orchidaceae,Orchidaceae,Orchidaceae,Juss.,flowering plants,Accepted,Orchidaceae,Juss.,-26.910278,-49.500278,2010-03-11,SpeciesLink,FURB,FURB,FURB,FURB,1278,1
NA,Oleaceae,Oleaceae,Oleaceae,Oleaceae,Hoffmanns. & Link,flowering plants,Accepted,Oleaceae,Hoffmanns. & Link,-13.516667,-41.933333,2000-11-19,GBIF,JBRJ,JBRJ,JBRJ,RB,1928,1
Axonopus siccus,Poaceae,Axonopus siccus (Nees) Kuhlm.,Poaceae,Axonopus siccus,(Nees) Kuhlm.,flowering plants,Accepted,Poaceae,(Nees) Kuhlm.,-26.1925,-49.26556,1958-02-04,NY,NY,NY,NY,Herbarium,104,1
Cuphea thymoides,Lythraceae,Cuphea thymoides Cham. & Schltdl.,Lythraceae,Cuphea thymoides,Cham. & Schltdl.,flowering plants,Accepted,Lythraceae,Cham. & Schltdl.,-22.130833,-44.748055,NA,GBIF,Cenargen,Cenargen,Cenargen,CEN,3199,1
Annona leptopetala,Annonaceae,Rollinia leptopetala R.E.Fr.,Annonaceae,Rollinia leptopetala,R.E. Fr.,flowering plants,Accepted,Annonaceae,(R.E. Fr.) H. Rainer,-8.138472,-38.400556,1998-02-05,GBIF,UFRPE,UFRPE,UFRPE,PEUFR,2469,1
Octoblepharum albidum,Calymperaceae,Octoblepharum albidum,Octoblepharaceae,Octoblepharum albidum,Hedw.,bryophytes,Accepted,Octoblepharaceae,Hedw.,-15.664111,-47.727333,2009-04-20,SpeciesLink,UnB,UnB,UnB,UB,1227,1
NA,Araceae,Anthurium Schott,Araceae,Anthurium,Schott,flowering plants,Accepted,Araceae,Schott,-13.320861,-39.512139,2014-12-12,GBIF,UFRB,UFRB,UFRB,HURB,3083,1
NA,Velloziaceae,Aylthonia,Velloziaceae,Aylthonia,N. L. de Menezes,flowering plants,No opinion,Velloziaceae,NA,-18.200556,-43.709167,2003-08-14,SpeciesLink,UNICAMP,UNICAMP,UNICAMP,UEC,1030,1
Couepia longipendula,Chrysobalanaceae,Couepia longipendula,Chrysobalanaceae,Couepia longipendula,Pilg.,flowering plants,Accepted,Chrysobalanaceae,Pilg.,-2.366667,-59.95,1989-01-01,SpeciesLink,INPA,INPA,INPA,INPA-Herbario,619,1
Croton macrobothrys,Euphorbiaceae,Croton macrobothrys Baill.,Euphorbiaceae,Croton macrobothrys,Baill.,flowering plants,Accepted,Euphorbiaceae,Baill.,-13.162222,-39.665,2007-01-25,GBIF,UEFS,UEFS,UEFS,HUEFS,2756,1
Allantoma integrifolia,Lecythidaceae,"Allantoma integrifolia (Ducke) S. A. Mori, Y.-Y. Huang & Prance",Lecythidaceae,Allantoma integrifolia,"(Ducke) S.A. Mori, Ya Y.Huang & Prance",flowering plants,Accepted,Lecythidaceae,"(Ducke) S.A. Mori, Ya Y.Huang & Prance",-2.883,-59.967,1995-10-19,NY,NY,NY,NY,Herbarium,104,1
Banara nitida,Salicaceae,Banara nitida Spruce ex Benth.,Salicaceae,Banara nitida,Spruce ex Benth.,flowering plants,Accepted,Salicaceae,Spruce ex Benth.,-9.13,-70.1769,2001-10-26,GBIF,US,US,US,Botany,3271,1
Dolichandra quadrivalvis,Bignoniaceae,Bignonia populifolia DC.,Bignoniaceae,Bignonia populifolia,DC.,flowering plants,Accepted,Bignoniaceae,(Jacq.) L.G. Lohmann,-12.18306,-41.99722,NA,GBIF,G,G,G,Geneva Herbarium – De Candolle's Prodromus (G-DC),3547,1
Sebastiania brasiliensis,euphorbiaceae,sebastiania brasiliensis,Euphorbiaceae,Sebastiania brasiliensis,Spreng.,flowering plants,Accepted,Euphorbiaceae,Spreng.,-21.4574,-49.8198,2000-08-30,SpeciesLink,FAPESP,FAPESP,FAPESP,SinBiota,196,1
Vitex polygama,Lamiaceae,Vitex polygama Cham.,Lamiaceae,Vitex polygama,Cham.,flowering plants,Accepted,Lamiaceae,Cham.,-12.9,-47.77139,NA,GBIF,Cenargen,Cenargen,Cenargen,CEN,3199,1
Annona warmingiana,Annonaceae,Annona warmingiana Mello-Silva & Pirani,Annonaceae,Annona warmingiana,Mello-Silva & Pirani,flowering plants,Accepted,Annonaceae,Mello-Silva & Pirani,-17.881389,-51.714444,2010-10-02,GBIF,Universidade Federal de Goiás (UFG),Universidade Federal de Goiás (UFG),Universidade Federal de Goiás (UFG),HJ,1627,1
Annona montana,Annonaceae,Annona montana Macfad.,Annonaceae,Annona montana,Macfad.,flowering plants,Accepted,Annonaceae,Macfad.,-13.016667,-39.6,2005-10-29,GBIF,Universidade Federal da Bahia (UFBA),Universidade Federal da Bahia (UFBA),Universidade Federal da Bahia (UFBA),ALCB,2879,1
NA,Fabaceae,Fabaceae Crudia unknown,Fabaceae,Crudia,Schreb.,flowering plants,Accepted,Fabaceae,Schreb.,-1.73408,-51.510980000000004,2005-04-03,TEAM,Caxiuanã,Fernanda Santos,NA,NA,36,1
Mitracarpus hirtus,Rubiaceae,Mitracarpus hirtus (Sw.) DC.,Rubiaceae,Mitracarpus hirtus,(L.) DC.,flowering plants,Accepted,Rubiaceae,(L.) DC.,-20.57477,-47.03685,2003-05-06,GBIF,UNICAMP,UNICAMP,UNICAMP,UEC,2136,1
Myrsine monticola,Primulaceae,Myrsine monticola Mart.,Primulaceae,Myrsine monticola,Mart.,flowering plants,Accepted,Primulaceae,Mart.,-13.53333,-41.91667,1974-01-22,GBIF,MNHN,MNHN,MNHN,P,3541,1
NA,Apocynaceae,Marsdenia sp.,Apocynaceae,Marsdenia,R. Br.,flowering plants,Accepted,Apocynaceae,R. Br.,-9.330797,-40.548733,2009-10-29,SpeciesLink,UNIVASF,UNIVASF,UNIVASF,HVASF,786,1
Euphorbia appariciana,Euphorbiaceae,Euphorbia appariciana,Euphorbiaceae,Euphorbia appariciana,Rizzini,flowering plants,Accepted,Euphorbiaceae,Rizzini,NA,NA,1996-07-05,SpeciesLink,IBt,IBt,IBt,SP,971,1
NA,Araceae,Philodendron Schott,Araceae,Philodendron,Schott,flowering plants,Accepted,Araceae,Schott,-10.773109,-53.08982,NA,GBIF,NHMUK,NHMUK,NHMUK,BOT,2075,1
NA,Fabaceae,Dioclea Kunth,Fabaceae,Dioclea,Kunth,flowering plants,Accepted,Fabaceae,Kunth,-3.206944,-51.7775,2014-09-27,GBIF,JBRJ,JBRJ,JBRJ,RB,1928,1
Cayaponia tayuya,Cucurbitaceae,Cayaponia tayuya Cogn.,Cucurbitaceae,Cayaponia tayuya,(Vell.) Cogn.,flowering plants,Accepted,Cucurbitaceae,(Vell.) Cogn.,-10.922222,-39.775,2006-07-08,GBIF,UFG,UFG,UFG,UFG,3801,1
Ficus obtusiuscula,Moraceae,Ficus obtusiuscula Miq.,Moraceae,Ficus obtusiuscula,(Miq.) Miq.,flowering plants,Accepted,Moraceae,(Miq.) Miq.,-19.814167,-40.678056,2003-07-17,GBIF,MBML,MBML,MBML,MBML-HERBARIO,3510,1
Guapira opposita,Nyctaginaceae,Guapira opposita (Vell.) Reitz,Nyctaginaceae,Guapira opposita,(Vell.) Reitz,flowering plants,Accepted,Nyctaginaceae,(Vell.) Reitz,-20.866667,-40.766667,1994-12-08,GBIF,USP,USP,USP,SPF,3527,1
NA,Malvaceae,Sida L.,Malvaceae,Sida,L.,flowering plants,Accepted,Malvaceae,L.,-14.3975,-44.322222,2002-04-16,GBIF,USP,USP,USP,SPF,3527,1
NA,Asteraceae,Asteraceae,Asteraceae,Asteraceae,Bercht. & J. Presl,flowering plants,Accepted,Asteraceae,Bercht. & J. Presl,-9.356667,-40.785278,2009-07-05,GBIF,IAC,IAC,IAC,IAC,3493,1
Turnera melochioides,Turneraceae,Turnera melochioides,Passifloraceae,Turnera melochioides,Cambess.,flowering plants,Accepted,Passifloraceae,Cambess.,-12.85,-41.316667,1977-02-13,SpeciesLink,UNICAMP,UNICAMP,UNICAMP,UEC,1030,1
Mitracarpus frigidus,Rubiaceae,Mitracarpus frigidus K.Schum.,Rubiaceae,Mitracarpus frigidus,(Willd. ex Roem. & Schult.) K. Schum.,flowering plants,Accepted,Rubiaceae,(Willd. ex Roem. & Schult.) K. Schum.,-10.362778,-40.202222,2005-07-28,GBIF,UEFS,UEFS,UEFS,HUEFS,2756,1
Ocotea canaliculata,Lauraceae,Ocotea canaliculata Mez,Lauraceae,Ocotea canaliculata,(Rich.) Mez,flowering plants,Accepted,Lauraceae,(Rich.) Mez,-7.1375,-34.870556,2010-07-13,GBIF,"Universidade Federal do Ceará, UFC","Universidade Federal do Ceará, UFC","Universidade Federal do Ceará, UFC",EAC,2420,1
NA,Solanaceae,Solanum sp.,Solanaceae,Solanum,L.,flowering plants,Accepted,Solanaceae,L.,-11.1664166667,-37.2559722222,2011-11-03,SpeciesLink,UFPB,UFPB,UFPB,JPB,306,1
Paspalum plicatulum,Poaceae,Paspalum plicatulum Michx.,Poaceae,Paspalum plicatulum,Michx.,flowering plants,Accepted,Poaceae,Michx.,-27.596111,-48.429167,2014-11-27,GBIF,"Universidade Regional de Blumenau, FURB","Universidade Regional de Blumenau, FURB","Universidade Regional de Blumenau, FURB",FURB,1646,1
Polygala pulchella,Polygalaceae,Polygala pulchella A.St.-Hil.,Polygalaceae,Polygala pulchella,A. St.-Hil. & Moq.,flowering plants,Accepted,Polygalaceae,A. St.-Hil. & Moq.,-29.599167,-55.375833,2008-09-28,GBIF,UFRGS,UFRGS,UFRGS,ICN,2637,1
NA,Asteraceae,Asteraceae,Asteraceae,Asteraceae,Bercht. & J. Presl,flowering plants,Accepted,Asteraceae,Bercht. & J. Presl,-17.702917,-44.296167,2013-04-30,GBIF,MBM,MBM,MBM,MBM,3422,1
Virola elongata,Myristicaceae,Virola elongata Warb.,Myristicaceae,Virola elongata,(Benth.) Warb.,flowering plants,Accepted,Myristicaceae,(Benth.) Warb.,-3.216667,-64.833333,1982-11-28,GBIF,USP,USP,USP,SPF,3527,1
Myrcia palustris,Myrtaceae,Myrcia palustris DC.,Myrtaceae,Myrcia palustris,DC.,flowering plants,Accepted,Myrtaceae,DC.,-29.039444,-49.524722,2012-01-16,GBIF,"Universidade Regional de Blumenau, FURB","Universidade Regional de Blumenau, FURB","Universidade Regional de Blumenau, FURB",FURB,1646,1
Setaria scandens,Poaceae,Setaria scandens Schrad.,Poaceae,Setaria scandens,Schrad.,flowering plants,Accepted,Poaceae,Schrad.,-24.678056,-47.483333,1965-02-19,GBIF,"Instituto de Botânica, IBT","Instituto de Botânica, IBT","Instituto de Botânica, IBT",SP,3012,1
Rinorea riana,Violaceae,Violaceae Rinorea riana,Violaceae,Rinorea riana,Kuntze,flowering plants,Accepted,Violaceae,Kuntze,-1.72963,-51.48499,2010-11-08,TEAM,Caxiuanã,Fernanda Santos,NA,NA,36,1
Davilla rugosa,Dilleniaceae,Davilla rugosa Poir.,Dilleniaceae,Davilla rugosa,Poir.,flowering plants,Accepted,Dilleniaceae,Poir.,-17.133333,-39.566667,2008-09-07,GBIF,UEFS,UEFS,UEFS,HUEFS,2756,1
Myrcia venulosa,myrtaceae,myrcia venulosa,Myrtaceae,Myrcia venulosa,DC.,flowering plants,Accepted,Myrtaceae,DC.,-23.715,-47.0877,2000-03-01,SpeciesLink,FAPESP,FAPESP,FAPESP,SinBiota,196,1
Gaylussacia brasiliensis,Ericaceae,Gaylussacia brasiliensis var. pubescens Meisn.,Ericaceae,Gaylussacia brasiliensis var. pubescens,(Cham. & Schltdl.) Meisn.,flowering plants,Accepted,Ericaceae,(Cham. & Schltdl.) Meisn.,-10.8339,-52.8731,NA,GBIF,F,F,F,Botany,3567,1
NA,Poaceae,Paspalum L.,Poaceae,Paspalum,L.,flowering plants,Accepted,Poaceae,L.,-15.408056,-45.926111,1998-07-07,GBIF,"Instituto de Botânica, IBT","Instituto de Botânica, IBT","Instituto de Botânica, IBT",SP,3012,1
Paspalum almum,Poaceae,Paspalum almum Chase,Poaceae,Paspalum almum,Chase,flowering plants,Accepted,Poaceae,Chase,-28.65083,-55.97972,NA,GBIF,Cenargen,Cenargen,Cenargen,CEN,3199,1
Chaptalia integerrima,Asteraceae,Chaptalia integrifolia (Cass.) Baker,Asteraceae,Chaptalia integrifolia,(Cass.) Baker,flowering plants,Accepted,Asteraceae,(Vell.) Burkart,-20.348333,-43.938056,2006-01-05,GBIF,Universidade Federal de Minas Gerais (UFMG),Universidade Federal de Minas Gerais (UFMG),Universidade Federal de Minas Gerais (UFMG),BHCB,2515,1
NA,Myrtaceae,Myrcia DC.,Myrtaceae,Myrcia,DC.,flowering plants,Accepted,Myrtaceae,DC.,-13.916111,-39.465833,2013-03-13,GBIF,UFSCar,UFSCar,UFSCar,SORO,1885,1
Urbanodendron verrucosum,Lauraceae,Urbanodendron verrucosum Mez,Lauraceae,Urbanodendron verrucosum,(Nees) Mez,flowering plants,Accepted,Lauraceae,(Nees) Mez,-22.5,-42.25,1994-06-17,GBIF,JBRJ,JBRJ,JBRJ,RB,1928,1
Siparuna krukovii,Siparunaceae,Siparuna krukovii A.C. Sm.,Siparunaceae,Siparuna krukovii,A.C. Sm.,flowering plants,Accepted,Siparunaceae,A.C. Sm.,-15.38333,-55.83333,1985-10-21,MO,MO,MO,MO,NA,280,1
Phoradendron nigricans,Santalaceae,Phoradendron nigricans Rizzini,Santalaceae,Phoradendron nigricans,Rizzini,flowering plants,Accepted,Santalaceae,Rizzini,-13.1,-41.55,1992-04-13,GBIF,USP,USP,USP,SPF,3527,1
NA,Annonaceae,Annonaceae Duguetia unknown,Annonaceae,Duguetia,A. St.-Hil.,flowering plants,Accepted,Annonaceae,A. St.-Hil.,-1.78128,-51.59084,2004-07-16,TEAM,Caxiuanã,Fernanda Santos,NA,NA,36,1
Passiflora luetzelburgii,Passifloraceae,Passiflora luetzelburgii,Passifloraceae,Passiflora luetzelburgii,Harms,flowering plants,Accepted,Passifloraceae,Harms,-11.333333,-39,1972-11-02,SpeciesLink,UnB,UnB,UnB,UB,1227,1
Tocoyena formosa,Rubiaceae,Tocoyena formosa K.Schum.,Rubiaceae,Tocoyena formosa,(Cham. & Schltdl.) K. Schum.,flowering plants,Accepted,Rubiaceae,(Cham. & Schltdl.) K. Schum.,-6.220556,-48.431944,2004-04-21,GBIF,UNITINS,UNITINS,UNITINS,HUTO,2430,1
NA,Moraceae,Ficus L.,Moraceae,Ficus,L.,flowering plants,Accepted,Moraceae,L.,-20.89775,-56.529139,2011-07-02,GBIF,Fundação Universidade Federal de Mato Grosso do Sul (UFMS),Fundação Universidade Federal de Mato Grosso do Sul (UFMS),Fundação Universidade Federal de Mato Grosso do Sul (UFMS),CGMS,2258,1
Annona leptopetala,Annonaceae,Annona leptopetala (R.E.Fr.) H.Rainer,Annonaceae,Annona leptopetala,(R.E. Fr.) H. Rainer,flowering plants,Accepted,Annonaceae,(R.E. Fr.) H. Rainer,-10.8339,-52.8731,1979-11-26,GBIF,F,F,F,Botany,3567,1
Dulacia egleri,Olacaceae,Liriosma egleri Bastos,Olacaceae,Liriosma egleri,J.O. Rangel,flowering plants,Accepted,Olacaceae,(J.O. Rangel) Sleumer,-17.881667,-57.550556,2003-05-09,GBIF,Fundação Universidade Federal de Mato Grosso do Sul (UFMS),Fundação Universidade Federal de Mato Grosso do Sul (UFMS),Fundação Universidade Federal de Mato Grosso do Sul (UFMS),CGMS,2258,1
Croton triangularis,Euphorbiaceae,Croton triangularis Müll.Arg.,Euphorbiaceae,Croton triangularis,Müll. Arg.,flowering plants,Accepted,Euphorbiaceae,Müll. Arg.,-16.9975,-42.7975,2004-01-24,GBIF,UEFS,UEFS,UEFS,HUEFS,2756,1
Psidium myrsinites,Myrtaceae,Psidium myrsinites DC.,Myrtaceae,Psidium myrsinites,DC.,flowering plants,Accepted,Myrtaceae,DC.,-11.557778,-46.114167,NA,GBIF,Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC),Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC),Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC),CEPEC,2724,1
Protium crassipetalum,Burseraceae,Burseraceae Protium crassipetalum,Burseraceae,Protium crassipetalum,Cuatrec.,flowering plants,Accepted,Burseraceae,Cuatrec.,-2.9698361,-59.9053463,2005-05-05,TEAM,Manaus,Eduardo Eler,NA,NA,42,1
Richeria dressleri,Phyllanthaceae,Richeria dressleri G.L.Webster,Phyllanthaceae,Richeria dressleri,G.L. Webster,flowering plants,Accepted,Phyllanthaceae,G.L. Webster,-9.258889,-64.614167,2010-10-20,GBIF,UEFS,UEFS,UEFS,HUEFS,2756,1
Licania polita,Chrysobalanaceae,Licania polita Spruce ex Hook.f.,Chrysobalanaceae,Licania polita,Spruce ex Hook. f.,flowering plants,Accepted,Chrysobalanaceae,Spruce ex Hook. f.,-11.381667,-55.493333,2007-10-16,GBIF,UNEMAT,UNEMAT,UNEMAT,HERBAM,1849,1
Persea willdenovii,Lauraceae,Persea willdenovii Kosterm.,Lauraceae,Persea willdenovii,Kosterm.,flowering plants,Accepted,Lauraceae,Kosterm.,-13.26194,-41.92472,2000-04-01,MO,MO,MO,MO,NA,280,1
Aspidosperma polyneuron,Apocynaceae,Aspidosperma polyneuron Müll. Arg.,Apocynaceae,Aspidosperma polyneuron,Müll. Arg.,flowering plants,Accepted,Apocynaceae,Müll. Arg.,NA,NA,1987-09-06,MO,MO,MO,MO,NA,280,1
Dalechampia ficifolia,Euphorbiaceae,Dalechampia ficifolia Lam.,Euphorbiaceae,Dalechampia ficifolia,Lam.,flowering plants,Accepted,Euphorbiaceae,Lam.,-17.624611,-41.958222,2004-02-10,GBIF,Universidade Federal de Minas Gerais (UFMG),Universidade Federal de Minas Gerais (UFMG),Universidade Federal de Minas Gerais (UFMG),BHCB,2515,1
Cleome viridiflora,Cleomaceae,Cleome viridiflora Schreb.,Cleomaceae,Cleome viridiflora,Schreb.,flowering plants,Accepted,Cleomaceae,Schreb.,-23.27,-48.25,1983-11-22,GBIF,UNICAMP,UNICAMP,UNICAMP,UEC,2136,1
Inga stenoptera,Fabaceae,Inga stenoptera Benth.,Fabaceae,Inga stenoptera,Benth.,flowering plants,Accepted,Fabaceae,Benth.,-1.9,-52.233333,2008-12-16,GBIF,JBRJ,JBRJ,JBRJ,RB,1928,1
Hedyosmum brasiliense,CHLORANTHACEAE,Hedyosmum brasiliensis,Chloranthaceae,Hedyosmum brasiliense,Miq.,flowering plants,Accepted,Chloranthaceae,Miq.,-19.9075,-40.553056,2002-01-09,SpeciesLink,MBML,MBML,MBML,MBML-Herbario,125,1
NA,Asteraceae,Vernonia Schreb.,Asteraceae,Vernonia,Schreb.,flowering plants,Accepted,Asteraceae,Schreb.,-13.304722,-42.144167,2009-07-23,GBIF,JBRJ,JBRJ,JBRJ,RB,1928,1
NA,Meliaceae,Trichilia,Meliaceae,Trichilia,P. Browne,flowering plants,Accepted,Meliaceae,P. Browne,-10,-67.833333,1980-01-01,SpeciesLink,INPA,INPA,INPA,INPA-Herbario,619,1
Solanum swartzianum,Solanaceae,Solanum swartzianum,Solanaceae,Solanum swartzianum,Roem. & Schult.,flowering plants,Accepted,Solanaceae,Roem. & Schult.,-24.183611,-47.926389,2002-04-22,SpeciesLink,ESALQ,ESALQ,ESALQ,ESA,479,1
Mimosa radula,Mimosaceae,Mimosa radula,Fabaceae,Mimosa radula,Benth.,flowering plants,Accepted,Fabaceae,Benth.,-16.75,-47.666667,1996-12-15,SpeciesLink,UnB,UnB,UnB,UB,1227,1
Spathiphyllum neblinae,Araceae,Spathiphyllum neblinae G.S. Bunting,Araceae,Spathiphyllum neblinae,G.S. Bunting,flowering plants,Accepted,Araceae,G.S. Bunting,-6.56666,-66.45,1971-11-27,MO,"INPA, MG, MO","INPA, MG, MO","INPA, MG, MO",NA,280,1
Guatteria megalophylla,Annonaceae,Guatteria megalophylla Diels,Annonaceae,Guatteria megalophylla,Diels,flowering plants,Accepted,Annonaceae,Diels,-3.319117,-55.657228,2015-10-23,GBIF,"Instituto Federal de Educação, Ciência e Tecnologia (IFAM)","Instituto Federal de Educação, Ciência e Tecnologia (IFAM)","Instituto Federal de Educação, Ciência e Tecnologia (IFAM)",EAFM,1566,1
Cuphea sessilifolia,Lythraceae,Cuphea sessilifolia Mart.,Lythraceae,Cuphea sessilifolia,Mart.,flowering plants,Accepted,Lythraceae,Mart.,-14.258889,-38.998056,2006-03-17,GBIF,UEFS,UEFS,UEFS,HUEFS,2756,1
NA,Bignoniaceae,Cuspidaria DC.,Bignoniaceae,Cuspidaria,DC.,flowering plants,Accepted,Bignoniaceae,DC.,-14.569722,-42.466389,2009-12-11,GBIF,UEFS,UEFS,UEFS,HUEFS,2756,1
Licania membranacea,Chrysobalanaceae,Chrysobalanaceae Licania membranacea,Chrysobalanaceae,Licania membranacea,Sagot ex Laness.,flowering plants,Accepted,Chrysobalanaceae,Sagot ex Laness.,-1.75391,-51.52048,2005-10-15,TEAM,Caxiuanã,Fernanda Santos,NA,NA,36,1
Solidago chilensis,ASTERACEAE,Solidago chilensis Meyen,Asteraceae,Solidago chilensis,Meyen,flowering plants,Accepted,Asteraceae,Meyen,-25.2833333,-49.2166667,2005-08-08,SpeciesLink,JBRJ,JBRJ,JBRJ,JBRJ_RB,249,1
Alchornea discolor,Euphorbiaceae,Alchornea schomburgkii Klotzsch,Euphorbiaceae,Alchornea schomburgkii,Klotzsch,flowering plants,Accepted,Euphorbiaceae,Poepp.,-4.11666,-58.96666,1983-07-01,MO,MO,MO,MO,NA,280,1
Mimosa annularis,Fabaceae,Mimosa annularis var. annularis,Fabaceae,Mimosa annularis var. annularis,NA,flowering plants,Accepted,Fabaceae,NA,1.18,-52.13,1961-09-30,GBIF,K,K,K,Herbarium,3716,1
Calycolpus goetheanus,Myrtaceae,Calycolpus goetheanus O.Berg,Myrtaceae,Calycolpus goetheanus,(DC.) O. Berg,flowering plants,Accepted,Myrtaceae,(DC.) O. Berg,-1.133333,-52.95,1987-11-04,GBIF,Instituto Nacional de Pesquisas da Amazônia (INPA),Instituto Nacional de Pesquisas da Amazônia (INPA),Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",2095,1
Palicourea rigida,Rubiaceae,Palicourea rigida Kunth,Rubiaceae,Palicourea rigida,Kunth,flowering plants,Accepted,Rubiaceae,Kunth,-24.5094,-50.4136,2003-01-05,GBIF,IAC,IAC,IAC,IAC,3493,1
Syngonium vellozianum,Araceae,Syngonium vellozianum Schott,Araceae,Syngonium vellozianum,Schott,flowering plants,Accepted,Araceae,Schott,-11,-55.404167,2015-06-29,GBIF,Universidade Tecnológica Federal do Paraná (UTFPR),Universidade Tecnológica Federal do Paraná (UTFPR),Universidade Tecnológica Federal do Paraná (UTFPR),HCF,2459,1
Tapirira obtusa,Anacardiaceae,Tapirira marchandii Engl.,Anacardiaceae,Tapirira marchandii,Engl.,flowering plants,Accepted,Anacardiaceae,(Benth.) J.D. Mitch.,-10.8339,-52.8731,NA,GBIF,F,F,F,Botany,3567,1
NA,Lejeuneaceae,Lejeuneaceae,NA,Lejeuneaceae,NA,bryophytes,Accepted,Lejeuneaceae,NA,-19.88,-43.669722,1986-11-17,GBIF,IBt,IBt,IBt,SP-BRYOPHYTA,1670,1
NA,Melastomataceae,Clidemia D.Don,Melastomataceae,Clidemia,D. Don,flowering plants,Accepted,Melastomataceae,D. Don,-14.85,-40.03333,2008-06-25,GBIF,MNHN,MNHN,MNHN,P,3541,1
Cabralea canjerana,Meliaceae,Cabralea canjerana (Vell.) Mart.,Meliaceae,Cabralea canjerana,(Vell.) Mart.,flowering plants,Accepted,Meliaceae,(Vell.) Mart.,-28.801111,-49.721111,1999-10-17,GBIF,UNESC,UNESC,UNESC,CRI,2747,1
Pouteria macrophylla,Sapotaceae,Pouteria macrophylla (Lam.) Eyma,Sapotaceae,Pouteria macrophylla,(Lam.) Eyma,flowering plants,Accepted,Sapotaceae,(Lam.) Eyma,NA,NA,NA,GBIF,Cenargen,Cenargen,Cenargen,CEN,3199,1
Psychotria deflexa,Rubiaceae,Psychotria deflexa DC.,Rubiaceae,Psychotria deflexa,DC.,flowering plants,Accepted,Rubiaceae,DC.,NA,NA,NA,GBIF,Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC),Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC),Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC),CEPEC,2724,1
Voyria flavescens,Gentianaceae,Voyria flavescens Griseb.,Gentianaceae,Voyria flavescens,Griseb.,flowering plants,Accepted,Gentianaceae,Griseb.,-9.194973,-35.843008,2015-10-18,GBIF,UFPB,UFPB,UFPB,JPB,3165,1
Achyrocline alata,Asteraceae,Achyrocline alata DC.,Asteraceae,Achyrocline alata,(Kunth) DC.,flowering plants,Accepted,Asteraceae,(Kunth) DC.,-20.448028,-52.906222,2005-04-22,GBIF,Fundação Universidade Federal de Mato Grosso do Sul (UFMS),Fundação Universidade Federal de Mato Grosso do Sul (UFMS),Fundação Universidade Federal de Mato Grosso do Sul (UFMS),CGMS,2258,1
Lobelia hassleri,Campanulaceae,Lobelia hassleri,Campanulaceae,Lobelia hassleri,Zahlbr.,flowering plants,Accepted,Campanulaceae,Zahlbr.,-25.044806,-51.558361,2008-12-08,SpeciesLink,UTFPR,UTFPR,UTFPR,HCF,1334,1
Emmotum nitens,Icacinaceae,Emmotum nitens Miers,Icacinaceae,Emmotum nitens,(Benth.) Miers,flowering plants,Accepted,Icacinaceae,(Benth.) Miers,-15.954444,-47.941389,2013-02-17,GBIF,UnB,UnB,UnB,UB,3120,1
Cordia nodosa,Ehretiaceae,Cordia nodosa Lam.,Boraginaceae,Cordia nodosa,Lam.,flowering plants,Accepted,Boraginaceae,Lam.,-8.9411,-72.7917,1993-11-15,GBIF,IAC,IAC,IAC,IAC,3493,1
Neocalyptrocalyx longifolium,Capparaceae,Neocalyptrocalyx longifolium (Mart.) Cornejo & Iltis,Capparaceae,Neocalyptrocalyx longifolium,(Mart.) Cornejo & Iltis,flowering plants,Accepted,Capparaceae,(Mart.) Cornejo & Iltis,-8.2815,-35.929056,2012-04-07,GBIF,UNIVASF,UNIVASF,UNIVASF,HVASF,1825,1
